year	source	target	sourceTarget	value	valueSource	valueTarget	distance	sameCurrency	sameLanguage	sourceGeo	targetGeo	sourceHDI	targetHDI	sourcePopulation	targetPopulation
1990	DM	PA	DM-PA	12	0.0334742936438	0.000702602354874	2270.46091498	0	0	15.475,-61.356	8.384,-80.92	0.745	0.78	67827	3231502
1990	DM	ES	DM-ES	363	0.0912002291108	0.000142539068443	6185.8379399	0	0	15.475,-61.356	40.227,-3.649	0.745	0.885	67827	43397491
1990	DM	CO	DM-CO	46	0.0268149469876	0.000404660238329	1818.77740933	0	0	15.475,-61.356	3.9,-73.076	0.745	0.719	67827	4494579
1990	DM	VE	DM-VE	200	0.0157357338511	3.99358180242e-05	1067.30761992	0	0	15.475,-61.356	7.125,-66.166	0.745	0.748	67827	26725573
1990	DM	CL	DM-CL	8	0.065088467245	0.000270925304293	4414.75546783	0	0	15.475,-61.356	-23.389,-69.433	0.745	0.819	67827	16295102
1990	DM	CA	DM-CA	1506	0.0918444860917	0.000193041155447	6229.53595814	0	1	15.475,-61.356	59.081,-109.433	0.745	0.911	67827	32270507
1990	DM	GY	DM-GY	14	0.0179492954738	0.00164637317451	1217.4468641	0	1	15.475,-61.356	4.792,-58.974	0.745	0.636	67827	739472
1990	DM	AR	DM-AR	9	0.0836701692366	0.000146464884817	5675.09656881	0	0	15.475,-61.356	-35.377,-65.167	0.745	0.811	67827	38747148
1990	DM	GB	DM-GB	1674	0.0979052286847	0.000110227176425	6640.617946	0	1	15.475,-61.356	53,-1.6	0.745	0.875	67827	60244834
1990	DM	CR	DM-CR	3	0.0372492768859	0.000583862625991	2526.50670334	0	0	15.475,-61.356	9.971,-83.946	0.745	0.773	67827	4327228
1990	DM	CU	DM-CU	20	0.0272854022327	0.000164360798536	1850.68697724	0	0	15.475,-61.356	21.297,-77.781	0.745	0.78	67827	11259905
1990	DM	KN	DM-KN	105	0.00378383075502	0.00522296163094	256.645888621	1	1	15.475,-61.356	17.34,-62.769	0.745	0.745	67827	49138
1990	DM	US	DM-US	22476	0.0663746038486	1.50143190632e-05	4501.99025524	0	1	15.475,-61.356	39.622,-98.606	0.745	0.937	67827	299846449
1990	DM	MX	DM-MX	12	0.0648872365657	4.22102128032e-05	4401.10659454	0	0	15.475,-61.356	23.951,-102.535	0.745	0.775	67827	104266392
1990	DM	SE	DM-SE	36	0.115065206629	0.000863519081388	7804.52777002	0	0	15.475,-61.356	62.011,15.27	0.745	0.916	67827	9038049
1990	DK	DO	DK-DO	70	0.0014133470201	0.000808484230095	7656.02307379	0	0	56.058,9.264	19.015,-70.729	0.901	0.702	5416945	9469601
1990	DK	FR	DK-FR	6772	0.000213058439572	1.89230292642e-05	1154.12584895	0	0	56.058,9.264	46.565,2.55	0.901	0.893	5416945	60990544
1990	DK	BE	DK-BE	2316	0.000124703055515	6.49650326763e-05	675.509593055	0	0	56.058,9.264	50.643,4.664	0.901	0.897	5416945	10398049
1990	DK	DE	DK-DE	16667	0.000101933394055	6.68060209209e-06	552.167589258	0	0	56.058,9.264	51.11,9.851	0.901	0.92	5416945	82652369
1990	DK	HN	DK-HN	14	0.00166678864578	0.0132115263301	9028.90242079	0	0	56.058,9.264	14.819,-86.863	0.901	0.632	5416945	683411
1990	DK	BR	DK-BR	525	0.00173220774387	5.02233900208e-05	9383.27407713	0	0	56.058,9.264	-10.772,-53.089	0.901	0.73	5416945	186830759
1990	DK	BS	DK-BS	8	0.00140348750693	0.0235160291166	7602.61463324	0	0	56.058,9.264	24.628,-78.014	0.901	0.794	5416945	323295
1990	DK	NI	DK-NI	42	0.00167989764982	0.0016658761017	9099.91317472	0	0	56.058,9.264	12.84,-85.034	0.901	0.599	5416945	5462539
1990	DK	NL	DK-NL	2111	9.41821015488e-05	0.000312462610494	510.179264074	0	0	56.058,9.264	52.077,5.389	0.901	0.921	5416945	1632769
